timestamps,TP9,AF7,AF8,TP10,Right AUX
1760229485.894,-32.715,-75.684,-7.324,2.930,0.000
1760229485.898,-33.691,-81.543,-12.695,3.906,0.000
1760229485.902,-25.391,-74.707,-13.672,3.418,0.000
1760229485.906,-27.832,-71.289,-15.137,-2.441,0.000
1760229485.910,-27.344,-64.941,-17.578,-5.859,0.000
1760229485.914,-22.949,-61.035,-15.137,-0.488,0.000
1760229485.918,-14.160,-56.641,-14.160,2.441,0.000
1760229485.922,-12.207,-57.129,-18.555,0.977,0.000
1760229485.925,-28.320,-61.035,-18.555,-4.883,0.000
1760229485.929,-38.086,-55.664,-14.648,-16.602,0.000
1760229485.933,-32.715,-60.059,-14.648,-18.066,0.000
1760229485.937,-28.320,-60.059,-15.625,-18.555,0.000
1760229485.941,-34.668,-53.223,-16.602,-23.926,0.000
1760229485.945,-31.738,-50.781,-19.531,-20.508,0.000
1760229485.949,-28.809,-48.340,-22.461,-19.531,0.000
1760229485.953,-27.344,-47.852,-20.996,-19.531,0.000
1760229485.957,-25.879,-49.316,-19.531,-17.578,0.000
1760229485.961,-26.855,-47.363,-27.344,-28.320,0.000
1760229485.965,-30.273,-45.898,-31.250,-28.320,0.000
1760229485.968,-23.926,-43.457,-25.391,-9.766,0.000
1760229485.972,-19.043,-42.969,-25.879,-17.578,0.000
1760229485.976,-30.273,-43.945,-24.414,-25.879,0.000
1760229485.980,-27.344,-40.527,-18.066,-20.508,0.000
1760229485.984,-22.461,-44.434,-15.625,-22.461,0.000
1760229485.988,-27.832,-45.898,-12.695,-25.391,0.000
1760229485.992,-29.297,-43.457,-19.043,-24.414,0.000
1760229485.996,-33.203,-40.527,-21.973,-29.785,0.000
1760229486.000,-29.297,-41.016,-18.555,-32.227,0.000
1760229486.004,-20.996,-40.039,-22.949,-28.320,0.000
1760229486.007,-24.414,-34.180,-28.809,-33.691,0.000
1760229486.011,-31.738,-32.227,-31.250,-36.133,0.000
1760229486.015,-37.109,-39.551,-28.320,-38.574,0.000
1760229486.019,-33.691,-44.434,-22.461,-29.785,0.000
1760229486.023,-28.809,-41.016,-18.555,-20.996,0.000
1760229486.027,-34.180,-38.574,-17.578,-24.902,0.000
1760229486.031,-33.203,-41.992,-21.973,-23.926,0.000
1760229486.035,-18.066,-41.016,-27.344,-9.277,0.000
1760229486.039,-17.578,-40.039,-24.902,-0.488,0.000
1760229486.043,-32.715,-36.621,-22.949,-19.043,0.000
1760229486.047,-31.250,-41.016,-25.391,-26.367,0.000
1760229486.050,-16.113,-45.410,-29.785,-14.160,0.000
1760229486.054,-19.043,-42.480,-41.504,-20.508,0.000
1760229486.058,-24.902,-46.387,-44.434,-26.367,0.000
1760229486.062,-24.902,-49.316,-34.180,-24.902,0.000
1760229486.066,-22.461,-50.781,-24.414,-10.742,0.000
1760229486.070,-20.996,-48.828,-20.020,-5.371,0.000
1760229486.074,-22.949,-43.945,-26.855,-13.672,0.000
1760229486.078,-19.531,-41.504,-29.297,-12.207,0.000
1760229486.082,-24.902,-41.016,-29.297,-15.625,0.000
1760229486.086,-19.531,-40.039,-29.785,-15.137,0.000
1760229486.089,-11.719,-36.621,-22.949,-5.859,0.000
1760229486.093,-16.113,-38.086,-20.996,-12.207,0.000
1760229486.097,-19.531,-38.574,-28.320,-20.996,0.000
1760229486.101,-15.137,-33.203,-24.902,-14.160,0.000
1760229486.105,-15.625,-37.109,-21.484,-15.625,0.000
1760229486.109,-23.926,-41.504,-26.855,-26.855,0.000
1760229486.113,-27.832,-40.039,-24.902,-29.785,0.000
1760229486.117,-26.855,-43.457,-31.250,-23.926,0.000
1760229486.121,-27.344,-44.434,-34.668,-19.531,0.000
1760229486.125,-29.297,-47.363,-29.297,-16.113,0.000
1760229486.129,-26.367,-46.387,-28.320,-21.973,0.000
1760229486.132,-20.020,-37.598,-32.227,-22.949,0.000
1760229486.136,-16.602,-38.086,-32.227,-11.719,0.000
1760229486.140,-18.066,-41.504,-26.367,-14.160,0.000
1760229486.144,-24.414,-40.527,-22.949,-20.996,0.000
1760229486.148,-25.879,-42.480,-23.926,-21.484,0.000
1760229486.152,-13.672,-42.969,-23.438,-13.672,0.000
1760229486.156,-18.555,-41.016,-23.438,-18.066,0.000
1760229486.160,-21.484,-36.621,-24.902,-17.090,0.000
1760229486.164,-20.020,-40.527,-24.414,-8.789,0.000
1760229486.168,-20.020,-46.387,-28.809,-16.602,0.000
1760229486.171,-12.207,-37.598,-29.785,-20.020,0.000
1760229486.175,-10.742,-28.320,-29.297,-19.043,0.000
1760229486.179,-12.695,-29.297,-30.762,-19.531,0.000
1760229486.183,-16.602,-36.621,-27.344,-14.648,0.000
1760229486.187,-17.578,-31.250,-30.273,-9.766,0.000
1760229486.191,-11.719,-23.926,-32.715,-13.672,0.000
1760229486.195,-13.672,-29.297,-29.297,-16.113,0.000
1760229486.199,-17.090,-26.367,-30.273,-17.578,0.000
1760229486.203,-10.254,-21.973,-28.320,-12.695,0.000
1760229486.207,-13.672,-29.785,-29.785,-9.766,0.000
1760229486.211,-28.809,-36.621,-32.715,-25.391,0.000
1760229486.214,-31.250,-35.645,-32.227,-38.574,0.000
